nome_canal,perfil_canal,inscritos,pais,avg_views,avg_likes,avg_comments
tseries,T-Series,229500000,India,103800.0,2800.0,158.0
setindia,SET India,147200000,India,0.0,0.0,0.0
checkgate,Cocomelon - Nursery Rhymes,146600000,,9500000.0,48300.0,0.0
MrBeast,MrBeast,117000000,United States,68500000.0,2900000.0,99900.0
PewDiePie,PewDiePie,111600000,United States,1400000.0,110700.0,7800.0
✿ Kids Diana Show,✿ Kids Diana Show,103400000,,6300000.0,20700.0,0.0
Like Nastya,Like Nastya,102400000,,4400000.0,21100.0,0.0
WWEFanNation,WWE,91800000,United States,144900.0,5100.0,207.0
Vlad and Niki,Vlad and Niki,90500000,,7000000.0,27400.0,0.0
zeemusiccompany,Zee Music Company,89700000,India,89600.0,2400.0,91.0
BLACKPINK,BLACKPINK,82800000,United States,1800000.0,297300.0,4500.0
GoldminesTelefilms,Goldmines,79500000,India,53500.0,673.0,27.0
5-Minute Crafts,5-Minute Crafts,77900000,India,236200.0,1500.0,57.0
sabtv,Sony SAB,73900000,India,45600.0,757.0,18.0
BANGTANTV,BANGTANTV,71700000,India,1700000.0,398800.0,8800.0
ibighit,HYBE LABELS,68800000,United States,2900000.0,179600.0,3900.0
KondZilla,Canal KondZilla,66300000,Brazil,39200.0,1700.0,247.0
zeetv,Zee TV,64200000,India,8900.0,80.0,2.0
filmigaane,Shemaroo Filmi Gaane,62600000,India,15200.0,172.0,7.0
SmartBooksMedia,Pinkfong Baby Shark - Kids' Songs & Stories,62300000,,350100.0,924.0,0.0
ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV Nursery Rhymes & Kids Songs,59700000,,147000.0,855.0,0.0
dudeperfect,Dude Perfect,58600000,United States,7100000.0,207600.0,6700.0
movieclips,Movieclips,58100000,United States,9200.0,142.0,13.0
colorstv,Colors TV,57600000,India,6700.0,73.0,2.0
Marshmello,Marshmello,56100000,United States,1700000.0,88500.0,4500.0
tseriesbhakti,T-Series Bhakti Sagar,56000000,India,20700.0,458.0,44.0
tipsofficial,Tips Official,55300000,India,336600.0,2300.0,84.0
BHOJPURIWAVE,Wave Music,54900000,,60100.0,1400.0,106.0
aajtak,Aaj Tak,54900000,India,3200.0,45.0,5.0
sonymusicindiaSME,Sony Music India,54600000,India,861600.0,22200.0,286.0
ReinoMariaElenaWalsh,El Reino Infantil,53500000,,43500.0,255.0,0.0
EdSheeran,Ed Sheeran,52600000,United States,222600.0,11100.0,790.0
LooLooKids,LooLoo Kids - Nursery Rhymes and Children's Songs,51200000,United States,332000.0,5500.0,0.0
taylorswift,Taylor Swift,49600000,United States,3500000.0,102100.0,1700.0
yrf,YRF,49100000,India,58900.0,3200.0,29.0
BillionSurpriseToys - English Kids Songs & Cartoon,BillionSurpriseToys - English Kids Songs & Cartoon,47900000,,191000.0,0.0,0.0
infobellshindirhymes,Infobells - Hindi,47600000,,187700.0,841.0,0.0
JuegaGerman,JuegaGerman,46600000,Mexico,874000.0,85900.0,3000.0
Badabun,Badabun,46000000,Mexico,8500.0,394.0,7.0
felipeneto,Felipe Neto,44700000,Brazil,884900.0,107000.0,1700.0
BRIGHT SIDE,BRIGHT SIDE,44200000,United States,43100.0,1100.0,77.0
vcsabiavideos,Você Sabia?,44100000,Brazil,530700.0,54000.0,874.0
sonymusicindiaVEVO,SonyMusicIndiaVEVO,43900000,India,59400.0,1500.0,51.0
KatyPerryMusic,Katy Perry,43500000,,84400.0,8200.0,871.0
getmovies,Get Movies,43200000,,69900.0,366.0,0.0
DjWalkzz,Alan Walker,42700000,United States,104500.0,9900.0,477.0
A4,A4,42500000,Russia,11200000.0,404500.0,27100.0
ShemarooEnt,Shemaroo,42300000,India,47400.0,439.0,13.0
Like Nastya Show,Like Nastya Show,41800000,,94000.0,453.0,0.0
ABSCBNOnline,ABS-CBN Entertainment,41500000,Philippines,1400.0,19.0,1.0
Voot Kids,Voot Kids,41500000,,523700.0,4800.0,0.0
speedrecordss,Speed Records,41500000,India,23500.0,1200.0,57.0
LittleBabyBum,Little Baby Bum - Nursery Rhymes & Kids Songs,40100000,,88000.0,175.0,0.0
