nome_canal,perfil_canal,pais,inscritos,avg_views,avg_likes,avg_comments
T-Series,tseries,India,224400000,141500.0,4600.0,125.0
Cocomelon - Nursery Rhymes,checkgate,,142500000,12500000.0,64800.0,0.0
PewDiePie,PewDiePie,United States,111600000,1900000.0,130500.0,7400.0
MrBeast,MrBeast6000,United States,104100000,44800000.0,2200000.0,70900.0
✿ Kids Diana Show,✿ Kids Diana Show,,100500000,6900000.0,34800.0,0.0
Like Nastya,Like Nastya,,100400000,5300000.0,28100.0,0.0
WWE,WWEFanNation,United States,90800000,139500.0,4800.0,205.0
Zee Music Company,zeemusiccompany,India,87700000,103700.0,1400.0,54.0
Vlad and Niki,Vlad and Niki,,86100000,5300000.0,14400.0,0.0
BLACKPINK,BLACKPINK,United States,80300000,10400000.0,1400000.0,42000.0
5-Minute Crafts,5-Minute Crafts,India,77300000,214100.0,1800.0,77.0
Goldmines,GoldminesTelefilms,India,75700000,141900.0,2100.0,56.0
Sony SAB,sabtv,India,71700000,61700.0,924.0,18.0
BANGTANTV,BANGTANTV,India,70600000,3900000.0,743300.0,15800.0
HYBE LABELS,ibighit,United States,68200000,1000000.0,173100.0,4500.0
Canal KondZilla,CanalKondZilla,Brazil,66000000,37400.0,1700.0,109.0
Zee TV,zeetv,India,63400000,109400.0,1100.0,15.0
Shemaroo Filmi Gaane,filmigaane,India,61800000,30400.0,273.0,14.0
Pinkfong Baby Shark - Kids' Songs & Stories,SmartBooksMedia,,60000000,523200.0,1300.0,0.0
ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV Nursery Rhymes & Kids Songs,,58400000,758800.0,3600.0,0.0
Dude Perfect,corycotton,United States,58300000,6400000.0,206700.0,7900.0
Movieclips,movieclips,United States,57800000,18800.0,181.0,11.0
Colors TV,colorstv,India,56000000,19300.0,407.0,5.0
Marshmello,Marshmello,United States,55900000,197900.0,13200.0,729.0
Wave Music,BHOJPURIWAVE,,53900000,56600.0,857.0,94.0
Tips Official,tipsmusic,India,53500000,233300.0,2800.0,60.0
Aaj Tak,aajtaktv,India,53400000,7500.0,138.0,11.0
EminemMusic,EminemMusic,United States,53300000,1600000.0,90600.0,5300.0
T-Series Bhakti Sagar,tseriesbhakti,India,53300000,45600.0,1300.0,53.0
Sony Music India,sonymusicindiaSME,India,53000000,451400.0,15900.0,1100.0
Ed Sheeran,EdSheeran,United States,52400000,239100.0,20900.0,1100.0
El Reino Infantil,ReinoMariaElenaWalsh,,52300000,234600.0,894.0,0.0
LooLoo Kids - Nursery Rhymes and Children's Songs,LooLooKids,United States,50200000,1100000.0,5700.0,0.0
YRF,yrf,India,48200000,67200.0,3400.0,19.0
BillionSurpriseToys - English Kids Songs & Cartoon,BillionSurpriseToys - English Kids Songs & Cartoon,,47300000,399900.0,0.0,0.0
Infobells - Hindi,infobellshindirhymes,India,46400000,967000.0,4800.0,0.0
JuegaGerman,JuegaGerman,Mexico,46400000,1700000.0,114400.0,3900.0
Badabun,Badabun,Mexico,45800000,9400.0,447.0,8.0
Fernanfloo,Fernanfloo,Mexico,45200000,3300000.0,0.0,26600.0
Felipe Neto,felipeneto,Brazil,44400000,1000000.0,124500.0,1300.0
BRIGHT SIDE,BRIGHT SIDE,United States,44000000,51300.0,1400.0,116.0
whinderssonnunes,whinderssonnunes,Brazil,44000000,350900.0,58800.0,1600.0
Você Sabia?,vcsabiavideos,Brazil,43500000,488200.0,46400.0,228.0
